自增ID,款号,款式名称商品名称,商品标签,产品分类,中类,退货率,销售数量,净销量,实发数量,实发金额,销售金额,销售成本,实发成本,销售毛利,退货数量,实退数量,退货金额,退货成本,实退成本,实退金额,退货毛利,净销售额,净销售成本,净销售毛利,优惠金额,运费收入,运费支出,基本金额,已付金额,实发退货率,基本售价,五类,延续内容,延续月份,年份,季节,商品状态,折扣,现货,货量,主仓,SKC库存,净销售金额,设计师(人员),元素类型,上新波次,销售顶峰,可售周期,小波段,超级直播,延续方向,延续结果,复盘结论,开售评级
128,SPU127,家居服秋冬款,新品,内衣,家居服,0.1347,787,681,524,10793.69,22826.68,10391.52,6504.24,12435.16,106,47,2819.99,996.98,977.3,1086.26,880.096,21740.42,9414.22,12326.2,1103.48,2.02,10.25,22493.64,19285.03,0.0897,358.81,B类,经典款,9月,2025,冬季,下架,0.54,479,895,162,464,21740.42,陈彬,休闲,第三波,6月,6个月,C波,否,停用,失败,好,E
129,SPU128,针织连衣裙新款,限量,女装,连衣裙,0.1213,3480,3058,1903,33381.91,28855.43,11581.19,10231.81,17274.24,422,48,3280.06,866.31,248.39,1318.13,2074.028,27537.3,11332.8,16204.5,2477.58,2.26,12.49,31214.4,24896.16,0.0252,375.84,未分组,经典款,10月,2024,春季,停售,0.61,80,1529,1237,132,27537.3,马强,运动,第一波,12月,3个月,A波,是,延续,成功,一般,D
130,SPU129,家居服秋冬款,设计师款,内衣,家居服,0.1195,2955,2602,2827,34080.01,40427.4,13545.36,10440.55,26882.04,353,344,5897.26,1764.44,497.28,1169.0,1056.253,39258.4,13048.08,26210.32,2764.27,32.49,13.07,42465.9,38729.54,0.1217,135.91,C类,经典款,3月,2024,夏季,在售,0.56,924,312,1438,227,39258.4,王丽丽,休闲,第四波,3月,长期,E波,否,改进,失败,优秀,A
131,SPU130,休闲衬衫热卖款,限量,童装,上装,0.1202,3537,3112,3019,29354.4,36822.85,25761.65,15746.16,11061.2,425,253,3520.61,2705.32,1699.12,559.06,1375.311,36263.79,24062.53,12201.26,1985.16,35.71,15.85,35674.04,31784.38,0.0838,78.58,未分组,经典款,8月,2023,夏季,下架,0.97,355,918,1428,223,36263.79,李金凤,简约,第二波,9月,6个月,D波,是,停用,一般,一般,E
132,SPU131,运动套装秋冬款,热卖,童装,套装,0.0666,3197,2984,2757,32972.51,18652.52,9119.78,13617.08,9532.74,213,213,2143.09,942.87,298.07,2722.0,267.618,15930.52,8821.71,7108.81,521.4,30.29,3.03,18025.68,18629.27,0.0773,186.64,B类,无,1月,2023,春季,预售,0.68,162,357,1031,16,15930.52,梁佳,简约,第三波,12月,3个月,E波,否,延续,一般,优秀,C
133,SPU132,风衣新款,新品,童装,外套,0.0351,2191,2114,426,35613.84,46404.97,22048.43,24568.7,24356.54,77,65,5542.21,2102.36,2818.31,3433.92,3170.594,42971.05,19230.12,23740.93,889.5,28.12,15.22,40224.69,38219.68,0.1526,142.42,C类,升级款,12月,2024,冬季,清仓,0.88,510,1500,203,78,42971.05,林海燕,运动,第三波,9月,6个月,A波,否,停用,待评估,好,B
134,SPU133,家居服新款,限量,内衣,家居服,0.015,1402,1381,762,36044.79,21335.42,11772.38,16893.79,9563.04,21,8,894.92,1439.15,1359.11,946.51,649.114,20388.91,10413.27,9975.64,999.3,22.94,25.57,23849.65,18612.06,0.0105,63.39,B类,延续款,12月,2025,春夏,在售,0.67,411,1581,336,222,20388.91,王秀梅,简约,第四波,3月,6个月,E波,否,创新,待评估,优秀,E
135,SPU134,西装外套春季款,联名,童装,外套,0.1179,2291,2021,1654,22863.26,11051.54,5722.16,10016.4,5329.38,270,75,1366.59,576.94,579.57,1330.25,631.83,9721.29,5142.59,4578.7,986.77,4.21,16.12,10565.24,10430.18,0.0453,445.94,E类,无,5月,2023,春夏,下架,0.78,533,697,1301,81,9721.29,黄淑英,简约,第一波,全年平销,1年,B波,是,停用,成功,好,C
136,SPU135,风衣春季款,限量,童装,外套,0.1117,1021,907,586,37106.08,23204.21,16084.7,21738.93,7119.51,114,38,3277.72,1659.5,2387.93,2848.42,912.931,20355.79,13696.77,6659.02,720.38,14.96,20.01,26128.68,21221.48,0.0648,112.99,D类,无,12月,2023,春夏,预售,0.76,197,1685,739,232,20355.79,徐荣,简约,第二波,12月,长期,A波,否,延续,待评估,一般,D
137,SPU136,休闲衬衫秋冬款,联名,男装,衬衫,0.0956,4311,3899,4251,39162.41,43728.72,23338.96,26333.36,20389.76,412,301,3434.27,3413.51,3489.45,4333.72,2555.523,39395.0,19849.51,19545.49,1005.37,6.36,21.33,37246.12,41144.57,0.0708,438.47,A类,升级款,8月,2024,春夏,停售,0.97,378,1887,243,308,39395.0,尤雪梅,休闲,第一波,3月,1年,E波,是,延续,一般,好,C
138,SPU137,西装外套秋冬款,热卖,童装,外套,0.007,3980,3952,585,7964.85,29891.59,9549.18,2972.73,20342.41,28,25,3394.26,98.28,1284.06,4041.21,1762.776,25850.38,8265.12,17585.26,480.68,2.23,14.44,27616.26,26617.71,0.0427,202.02,D类,经典款,12月,2025,秋冬,停售,0.75,471,1559,921,341,25850.38,谭秀华,休闲,第二波,9月,3个月,E波,是,停用,一般,优秀,C
139,SPU138,跑步外套热卖款,新品,运动,运动外套,0.1452,2272,1942,678,35653.22,29027.74,17952.6,19879.01,11075.14,330,45,636.33,2580.21,1589.63,3165.06,950.876,25862.68,16362.97,9499.71,2269.54,47.86,15.65,31937.0,26140.29,0.0664,58.4,未分组,无,3月,2023,春季,停售,0.62,722,1718,1186,227,25862.68,张金凤,简约,特别款,全年平销,1年,D波,否,停用,成功,需改进,D
140,SPU139,休闲衬衫新款,新品,男装,衬衫,0.075,2599,2404,372,6617.59,5867.35,2154.86,2393.52,3712.49,195,65,840.81,226.27,98.64,176.99,67.745,5690.36,2056.22,3634.14,566.21,9.07,21.4,5393.33,4809.75,0.1747,114.11,C类,改进款,7月,2023,春夏,停售,0.62,611,1200,484,252,5690.36,李娜,商务,特别款,12月,3个月,C波,否,创新,待评估,优秀,A
141,SPU140,家居服热卖款,清仓,内衣,家居服,0.0047,1914,1905,1134,48210.26,34079.77,13581.69,25421.19,20498.08,9,4,2468.65,1744.96,1628.85,2987.4,1641.087,31092.37,11952.84,19139.53,2742.04,7.12,16.21,29556.54,28934.83,0.0035,478.68,E类,经典款,1月,2023,夏季,下架,0.64,995,342,1,30,31092.37,李静,休闲,第三波,全年平销,1年,D波,是,改进,失败,好,B
142,SPU141,跑步外套春季款,设计师款,运动,运动外套,0.1103,3238,2881,572,36528.62,49942.24,32527.97,15609.47,17414.27,357,62,5268.61,1885.61,2624.19,1973.67,811.339,47968.57,29903.78,18064.79,3882.63,22.64,7.38,59591.52,43366.14,0.1084,256.91,E类,改进款,1月,2025,秋冬,在售,0.8,4,1846,19,344,47968.57,戴兰英,复古,第四波,全年平销,长期,D波,否,延续,成功,优秀,A
143,SPU142,童装套装经典款,联名,童装,套装,0.1475,1451,1237,1427,49205.98,7113.43,3188.18,15151.14,3925.25,214,196,351.11,443.14,36.06,263.33,235.888,6850.1,3152.12,3697.98,128.73,30.67,9.1,7733.18,6024.02,0.1374,272.21,C类,延续款,5月,2024,冬季,下架,0.6,200,1681,1307,202,6850.1,孔丽华,简约,第三波,全年平销,长期,B波,否,改进,成功,一般,A
144,SPU143,羽绒服夏季款,爆款,男装,外套,0.0653,4285,4005,189,49605.62,34956.3,17938.76,14920.48,17017.54,280,98,2439.81,1869.83,1586.08,1587.33,1718.843,33368.97,16352.68,17016.29,3035.86,16.15,25.33,33654.19,28816.0,0.5185,283.23,D类,改进款,9月,2023,冬季,停售,0.52,940,860,1090,229,33368.97,郑玉,时尚,第一波,12月,6个月,C波,否,延续,一般,优秀,A
145,SPU144,牛仔裤秋冬款,清仓,男装,下装,0.0126,2546,2514,114,24518.35,40594.89,21799.96,9779.42,18794.93,32,6,3097.42,3144.26,1238.29,3965.37,2378.544,36629.52,20561.67,16067.85,3407.82,25.98,7.1,33659.83,37347.01,0.0526,247.34,A类,经典款,10月,2023,春夏,在售,0.96,386,641,1420,33,36629.52,王瑞,复古,第一波,12月,3个月,C波,是,延续,成功,好,E
146,SPU145,西装外套经典款,爆款,女装,外套,0.1006,785,706,238,43364.55,39586.27,21756.74,28272.61,17829.53,79,52,3827.69,1252.02,1631.52,2908.7,2518.633,36677.57,20125.22,16552.35,3185.25,22.7,9.85,34716.86,32482.04,0.2185,317.83,A类,无,无,2023,秋季,停售,0.82,262,727,862,246,36677.57,邹梅,运动,特别款,12月,6个月,B波,否,延续,成功,一般,C
147,SPU146,套头卫衣秋冬款,联名,运动,卫衣,0.1159,4781,4227,1207,24006.66,30563.14,12727.27,13715.49,17835.87,554,149,550.88,1030.85,1049.69,4457.27,2263.809,26105.87,11677.58,14428.29,2667.65,21.1,5.86,26900.11,30003.84,0.1234,403.37,C类,升级款,11月,2024,冬季,清仓,0.8,339,1744,1184,289,26105.87,王凯,时尚,特别款,9月,长期,C波,否,延续,待评估,好,D
148,SPU147,POLO衫夏季款,热卖,男装,上装,0.1262,1886,1648,436,12711.93,36994.72,25194.71,5849.08,11800.01,238,159,4648.45,275.67,2862.41,2086.95,134.342,34907.77,22332.3,12575.47,1561.54,27.73,4.27,36112.89,34266.99,0.3647,460.72,C类,延续款,1月,2023,秋冬,预售,0.59,906,536,1472,89,34907.77,周彬,时尚,特别款,6月,6个月,B波,否,改进,失败,好,A
149,SPU148,休闲衬衫秋冬款,限量,男装,衬衫,0.0906,1722,1566,491,19112.39,19245.16,7092.69,12474.0,12152.47,156,116,2559.11,135.85,864.34,1612.16,367.254,17633.0,6228.35,11404.65,1793.15,39.74,5.75,18307.5,16836.65,0.2363,319.8,未分组,升级款,1月,2025,秋季,停售,0.93,301,1617,304,167,17633.0,陈凯,复古,第一波,9月,6个月,E波,是,改进,成功,优秀,E
150,SPU149,POLO衫经典款,爆款,女装,上装,0.0918,4171,3788,3803,9770.93,35911.86,18321.88,3980.03,17589.98,383,255,2374.94,2546.12,2634.78,2788.97,1614.014,33122.89,15687.1,17435.79,477.43,10.98,6.09,41128.68,31572.99,0.0671,187.7,D类,无,3月,2024,春季,下架,0.54,769,172,604,227,33122.89,田静,商务,第三波,6月,3个月,D波,是,停用,待评估,优秀,D
151,SPU150,家居服秋冬款,限量,内衣,家居服,0.0872,2236,2041,735,22642.74,14015.62,4630.14,11437.22,9385.48,195,6,1403.13,555.72,237.21,1909.02,1311.385,12106.6,4392.93,7713.67,264.29,3.57,1.15,12335.46,11763.72,0.0082,198.16,C类,改进款,4月,2025,秋季,停售,1.0,770,1466,1112,467,12106.6,刘秀云,时尚,第一波,9月,1年,C波,是,停用,成功,优秀,E
152,SPU151,休闲衬衫夏季款,新品,男装,衬衫,0.1408,1719,1477,1056,29763.18,28078.15,13687.97,12656.2,14390.18,242,59,1019.2,1612.69,789.69,3482.13,1549.992,24596.02,12898.28,11697.74,810.41,22.5,16.75,26670.88,25705.59,0.0559,107.76,未分组,延续款,8月,2025,春季,预售,0.61,435,1404,826,390,24596.02,戚莹,运动,特别款,9月,1年,E波,否,延续,一般,一般,C
153,SPU152,套头卫衣夏季款,热卖,运动,卫衣,0.01,3200,3168,771,24264.11,17113.23,11718.72,8291.66,5394.51,32,24,1495.82,169.78,616.99,1702.09,574.318,15411.14,11101.73,4309.41,923.69,9.33,2.08,20282.56,14661.99,0.0311,154.87,未分组,无,2月,2024,春夏,预售,0.76,175,669,841,200,15411.14,谢辉,复古,第一波,6月,长期,D波,否,停用,一般,一般,B
154,SPU153,童装套装夏季款,爆款,童装,套装,0.1189,4945,4357,4812,10945.67,36121.83,17467.89,3563.78,18653.94,588,317,2380.18,2149.58,2598.38,1381.24,1559.841,34740.59,14869.51,19871.08,3320.58,43.96,13.81,37221.85,34223.92,0.0659,179.56,D类,改进款,12月,2025,春季,清仓,0.81,829,1740,358,212,34740.59,王秀兰,复古,第二波,全年平销,长期,D波,是,改进,成功,优秀,A
155,SPU154,短裤热卖款,设计师款,男装,下装,0.0677,4405,4107,1779,45528.09,21152.63,12791.93,15574.7,8360.7,298,34,2481.53,711.77,788.27,570.53,611.427,20582.1,12003.66,8578.44,692.73,25.3,13.87,17541.41,19860.14,0.0191,387.38,D类,改进款,12月,2024,秋冬,清仓,0.52,256,234,1452,469,20582.1,穆亮,复古,第三波,12月,长期,D波,否,延续,一般,优秀,B
156,SPU155,家居服夏季款,联名,内衣,家居服,0.1293,147,128,45,15413.09,27198.04,12411.55,6308.59,14786.49,19,3,1949.89,433.31,1450.94,567.4,1626.776,26630.64,10960.61,15670.03,2457.12,26.61,13.26,22277.98,25211.44,0.0667,285.29,未分组,延续款,7月,2025,春季,清仓,0.53,4,99,772,392,26630.64,宋晶,复古,第二波,9月,6个月,B波,否,延续,待评估,好,A
157,SPU156,休闲裤热卖款,新品,童装,下装,0.0542,517,489,98,40049.28,41692.08,15307.38,25080.85,26384.7,28,28,2300.37,1496.3,1043.89,1391.96,2571.302,40300.12,14263.49,26036.63,3922.79,19.75,12.84,37229.5,34236.58,0.2857,195.52,A类,经典款,11月,2024,春夏,清仓,0.61,225,135,1347,417,40300.12,王想,时尚,特别款,9月,3个月,A波,否,停用,失败,优秀,A
158,SPU157,速干短裤春季款,联名,运动,运动裤,0.0676,4914,4582,3183,34217.13,48645.98,28092.48,14617.11,20553.5,332,323,6285.92,2177.12,2779.74,2747.84,1169.797,45898.14,25312.74,20585.4,3150.7,29.25,11.47,51381.67,41178.1,0.1015,314.36,A类,升级款,1月,2025,春夏,预售,0.62,438,1550,498,317,45898.14,邢娟,简约,第一波,6月,1年,D波,是,改进,一般,优秀,B
159,SPU158,休闲裤新款,设计师款,女装,下装,0.0924,3635,3299,1139,16559.39,39561.57,12495.24,6878.47,27066.33,336,68,526.84,1606.52,850.74,4780.98,1525.941,34780.59,11644.5,23136.09,1258.15,26.97,27.2,42172.73,33614.18,0.0597,359.31,未分组,升级款,10月,2024,秋季,预售,0.59,644,12,132,445,34780.59,江琳,休闲,第一波,6月,3个月,B波,否,改进,成功,一般,E
160,SPU159,运动长裤新款,清仓,运动,运动裤,0.0844,640,586,478,16261.69,36362.01,14470.99,8627.94,21891.02,54,46,5290.0,552.74,649.11,1261.8,2862.023,35100.21,13821.88,21278.33,1938.29,47.55,10.79,34583.43,32512.83,0.0962,240.21,E类,经典款,无,2023,夏季,在售,0.88,437,1749,170,388,35100.21,杨云,时尚,特别款,全年平销,6个月,E波,否,创新,待评估,优秀,C
161,SPU160,家居服新款,限量,内衣,家居服,0.0991,4964,4472,2729,7696.16,23993.67,8683.06,4557.26,15310.61,492,36,1497.11,578.62,102.43,876.91,1044.411,23116.76,8580.63,14536.13,1092.16,37.11,11.52,22149.14,23933.79,0.0132,82.06,A类,延续款,7月,2025,秋冬,停售,0.88,980,522,1479,178,23116.76,钱娟,商务,第四波,9月,3个月,D波,是,改进,一般,优秀,A
162,SPU161,POLO衫热卖款,设计师款,童装,上装,0.0545,1211,1145,301,13460.11,30505.32,20765.32,4535.01,9740.0,66,58,3344.16,1325.01,243.52,3898.95,1060.197,26606.37,20521.8,6084.57,2979.55,4.02,27.3,35093.4,25415.96,0.1927,242.09,未分组,改进款,9月,2025,冬季,清仓,0.79,751,842,1490,445,26606.37,孙桂英,简约,第一波,全年平销,1年,B波,是,改进,待评估,需改进,A
163,SPU162,休闲衬衫春季款,热卖,男装,衬衫,0.0927,572,519,426,33071.54,36919.07,13595.58,16356.8,23323.49,53,33,2967.04,345.78,1476.03,2305.64,2084.954,34613.43,12119.55,22493.88,1075.51,10.05,22.5,41484.9,30952.1,0.0775,492.33,D类,经典款,11月,2025,春夏,停售,0.54,87,773,255,141,34613.43,朱颖,简约,第三波,3月,6个月,D波,是,延续,成功,好,C
164,SPU163,针织连衣裙夏季款,爆款,女装,连衣裙,0.0016,4278,4271,4260,49357.95,38306.83,25774.8,21451.96,12532.03,7,6,4039.85,1495.73,1473.91,2920.99,678.375,35385.84,24300.89,11084.95,1209.11,18.06,11.95,40004.73,38117.63,0.0014,442.88,A类,延续款,8月,2025,夏季,停售,0.51,125,1779,1086,143,35385.84,沈波,运动,第二波,9月,长期,E波,是,停用,一般,好,C
165,SPU164,连帽卫衣热卖款,爆款,女装,卫衣,0.1302,2666,2319,956,30731.39,20608.09,11232.17,21350.59,9375.92,347,227,2678.93,1535.76,785.22,440.84,1057.593,20167.25,10446.95,9720.3,751.12,9.75,4.29,20773.4,18843.59,0.2374,435.56,E类,延续款,3月,2024,春夏,预售,0.92,561,1791,956,86,20167.25,杨秀兰,休闲,第一波,12月,6个月,B波,否,改进,成功,好,D
166,SPU165,针织衫经典款,联名,女装,上装,0.0488,2296,2184,1055,33630.7,47623.69,27061.71,19847.69,20561.98,112,92,1079.24,2891.54,3766.53,4913.18,2715.655,42710.51,23295.18,19415.33,4469.97,38.32,18.02,50366.56,41689.88,0.0872,372.85,未分组,经典款,11月,2025,秋季,清仓,0.9,228,530,236,148,42710.51,刘东,简约,第一波,3月,1年,E波,否,延续,失败,一般,C
167,SPU166,家居服春季款,限量,内衣,家居服,0.1134,4833,4285,3179,49012.63,16662.51,7431.64,27716.5,9230.87,548,194,1544.76,185.21,903.09,1751.27,104.183,14911.24,6528.55,8382.69,1444.85,15.8,24.48,15308.34,14059.51,0.061,355.99,B类,无,5月,2023,冬季,在售,0.8,316,1028,1410,63,14911.24,魏云,时尚,特别款,12月,6个月,D波,是,停用,成功,需改进,B
168,SPU167,连帽卫衣热卖款,限量,男装,卫衣,0.0512,430,408,372,20198.59,49235.09,27753.83,9229.02,21481.26,22,15,3404.18,2117.04,4128.35,6341.11,1262.303,42893.98,23625.48,19268.5,2226.54,3.59,21.8,44948.96,48477.5,0.0403,365.5,E类,经典款,2月,2023,春季,下架,0.93,55,1740,1453,155,42893.98,吴慧,休闲,第二波,全年平销,6个月,D波,是,创新,一般,一般,B
169,SPU168,连帽卫衣秋冬款,清仓,男装,卫衣,0.0221,4715,4611,1209,19451.23,49152.33,28104.23,13414.8,21048.1,104,86,1727.64,487.5,502.68,1649.12,3099.096,47503.21,27601.55,19901.66,3367.37,29.67,29.09,51648.73,43293.31,0.0711,65.3,B类,经典款,8月,2024,冬季,下架,0.98,668,1526,768,397,47503.21,薛晶,运动,第一波,12月,长期,C波,是,创新,成功,好,A
170,SPU169,包臀裙热卖款,联名,女装,半身裙,0.0551,4175,3945,3928,14412.52,37522.61,23179.12,8375.04,14343.49,230,5,1942.58,638.19,1803.03,1326.56,796.523,36196.05,21376.09,14819.96,2785.65,43.11,16.13,36101.71,35276.82,0.0013,227.21,E类,无,8月,2023,秋季,下架,0.77,838,1618,1334,63,36196.05,阮帅,复古,第一波,6月,6个月,A波,是,创新,成功,好,B
171,SPU170,运动长裤春季款,联名,运动,运动裤,0.0569,4607,4345,693,49016.49,25801.27,11492.5,14706.62,14308.77,262,17,1343.83,1637.34,795.59,2224.58,1183.651,23576.69,10696.91,12879.78,2075.77,32.96,13.35,26596.69,24227.92,0.0245,285.2,C类,无,9月,2025,秋冬,在售,0.83,45,485,75,96,23576.69,赵佳,复古,第三波,6月,6个月,E波,否,创新,失败,一般,E
172,SPU171,家居服秋冬款,热卖,内衣,家居服,0.1062,3127,2795,1638,23347.32,47292.28,26985.46,7663.13,20306.82,332,83,5323.9,4030.29,811.03,6697.91,2184.047,40594.37,26174.43,14419.94,1292.8,18.61,19.72,53355.31,43555.67,0.0507,238.86,B类,改进款,无,2024,夏季,在售,0.98,253,158,553,63,40594.37,王玉华,商务,第一波,全年平销,长期,A波,是,延续,失败,需改进,C
173,SPU172,短裤春季款,限量,男装,下装,0.0599,802,754,387,47637.36,39353.95,13750.33,29941.86,25603.62,48,14,3091.12,1155.78,1822.9,3294.19,2766.824,36059.76,11927.43,24132.33,3458.66,27.58,18.22,45596.59,32827.08,0.0362,475.93,D类,升级款,6月,2025,冬季,下架,0.78,903,1740,824,244,36059.76,钟萍,商务,第二波,9月,3个月,E波,否,改进,一般,优秀,E
174,SPU173,POLO衫热卖款,限量,童装,上装,0.1194,3032,2670,2777,30826.45,35632.55,13299.56,12784.59,22332.99,362,127,5108.51,1102.31,1619.7,5276.27,2469.702,30356.28,11679.86,18676.42,3318.93,11.44,19.07,29745.23,30684.34,0.0457,396.76,A类,延续款,2月,2025,秋冬,在售,0.58,58,173,585,283,30356.28,李亮,休闲,第一波,12月,6个月,D波,是,延续,待评估,好,E
175,SPU174,连帽卫衣热卖款,新品,男装,卫衣,0.1014,3481,3128,3026,33397.53,46102.49,32256.4,18133.17,13846.09,353,125,6687.2,3368.64,3411.79,6560.01,1848.041,39542.48,28844.61,10697.87,2633.21,11.25,2.25,52361.53,41618.42,0.0413,478.62,D类,经典款,7月,2023,春季,在售,0.67,695,511,1104,435,39542.48,王博,简约,第三波,9月,长期,C波,是,改进,成功,优秀,B
176,SPU175,针织衫新款,热卖,童装,上装,0.0145,3999,3941,24,31160.98,17099.04,7550.2,14359.83,9548.84,58,22,192.21,530.87,1016.46,183.33,359.573,16915.71,6533.74,10381.97,985.22,44.93,12.32,19924.55,13702.86,0.9167,396.25,C类,升级款,8月,2024,春季,预售,0.68,913,373,1098,415,16915.71,欧阳红,时尚,第一波,12月,长期,B波,否,创新,待评估,好,C
177,SPU176,休闲衬衫秋冬款,联名,男装,上装,0.0243,329,321,215,37452.28,45148.89,16439.84,25960.85,28709.05,8,6,1202.36,1290.03,1267.53,1709.29,2278.909,43439.6,15172.31,28267.29,3221.66,6.37,22.53,50211.66,39729.9,0.0279,376.7,未分组,经典款,3月,2023,春夏,在售,0.56,352,1024,27,392,43439.6,梁杨,运动,第二波,3月,1年,D波,否,停用,待评估,需改进,C
178,SPU177,家居服夏季款,设计师款,内衣,家居服,0.1489,1249,1063,382,13223.87,38569.65,24903.14,6237.22,13666.51,186,130,2944.6,2977.93,1111.42,5754.44,333.86,32815.21,23791.72,9023.49,2921.31,30.56,5.66,44044.56,35707.07,0.3403,116.93,A类,升级款,7月,2023,春季,停售,0.96,436,36,1262,102,32815.21,包红,简约,第一波,12月,长期,E波,是,改进,一般,需改进,D
179,SPU178,家居服热卖款,热卖,内衣,家居服,0.0898,423,385,137,18815.23,47206.94,27598.79,5952.3,19608.15,38,7,816.6,3153.59,3734.53,2104.28,777.99,45102.66,23864.26,21238.4,2477.67,45.42,3.02,41255.84,46719.09,0.0511,213.61,C类,延续款,2月,2025,春夏,下架,0.89,133,678,738,379,45102.66,欧阳欣,时尚,特别款,全年平销,1年,B波,是,改进,待评估,好,A
180,SPU179,连帽卫衣春季款,联名,男装,卫衣,0.1394,4805,4135,1580,35528.34,46349.53,15293.11,17397.5,31056.42,670,195,5401.5,1295.3,887.09,4010.21,978.716,42339.32,14406.02,27933.3,996.74,20.91,21.35,53609.47,44118.77,0.1234,430.74,E类,改进款,6月,2024,冬季,在售,0.96,69,988,858,268,42339.32,宋岩,商务,第一波,6月,1年,B波,是,延续,成功,一般,D
181,SPU180,家居服经典款,联名,内衣,家居服,0.0942,4172,3779,3196,20641.6,14303.22,5344.06,6265.64,8959.16,393,287,2002.56,437.1,216.4,463.43,721.521,13839.79,5127.66,8712.13,1070.63,12.94,25.57,13138.16,12210.7,0.0898,103.6,B类,延续款,9月,2023,春季,在售,0.82,964,1809,568,474,13839.79,汪雷,复古,第三波,3月,6个月,B波,否,延续,失败,需改进,C
182,SPU181,羽绒服夏季款,清仓,女装,外套,0.1372,3345,2886,1207,16907.12,3805.91,2383.9,6267.37,1422.01,459,313,555.76,203.19,97.02,477.07,209.073,3328.84,2286.88,1041.96,304.61,39.03,3.19,4180.06,3335.49,0.2593,344.22,未分组,无,9月,2023,夏季,停售,0.66,208,1191,1289,413,3328.84,杨涛,休闲,第二波,12月,6个月,D波,是,改进,待评估,好,D
183,SPU182,休闲衬衫夏季款,联名,男装,衬衫,0.0937,1547,1402,1493,9839.93,14820.17,6284.7,5344.35,8535.47,145,125,292.31,126.24,782.13,1984.95,378.425,12835.22,5502.57,7332.65,1360.81,48.52,3.01,14978.92,14010.29,0.0837,413.6,E类,延续款,7月,2024,春夏,在售,0.91,781,1700,1319,478,12835.22,郭丽娟,简约,第二波,6月,3个月,C波,否,延续,成功,好,E
184,SPU183,休闲衬衫夏季款,联名,童装,上装,0.1464,3935,3359,3340,8994.08,17256.06,6243.33,4653.94,11012.73,576,454,223.8,101.35,667.32,307.55,949.847,16948.51,5576.01,11372.5,331.85,44.32,12.46,13813.2,14579.0,0.1359,152.0,D类,升级款,6月,2025,春季,停售,0.96,700,787,1406,452,16948.51,吴杨,运动,第一波,12月,6个月,A波,否,延续,失败,需改进,A
185,SPU184,速干T恤秋冬款,联名,运动,运动T恤,0.0072,694,689,154,9725.32,26993.55,14572.32,5590.74,12421.23,5,4,2630.96,731.25,452.19,2837.58,1646.512,24155.97,14120.13,10035.84,928.53,24.96,11.07,24460.49,26491.39,0.026,409.41,A类,升级款,无,2025,秋冬,预售,0.57,457,1477,979,417,24155.97,干峰,简约,第一波,全年平销,长期,C波,否,延续,失败,一般,B
186,SPU185,家居服经典款,爆款,内衣,家居服,0.1417,3472,2980,1695,30485.41,32193.61,11438.02,14250.83,20755.59,492,355,2562.43,969.12,1590.17,4576.78,1754.811,27616.83,9847.85,17768.98,2701.89,19.23,17.43,31187.12,29475.67,0.2094,362.07,未分组,升级款,12月,2023,秋冬,预售,0.5,871,35,742,285,27616.83,方英,休闲,第二波,3月,3个月,C波,是,改进,失败,优秀,B
187,SPU186,连帽卫衣夏季款,爆款,运动,卫衣,0.0152,1839,1811,282,6744.55,35093.26,12536.39,3026.1,22556.87,28,23,3796.96,1288.55,1347.12,3952.6,458.532,31140.66,11189.27,19951.39,2995.89,43.52,0.91,33201.65,28629.03,0.0816,84.68,E类,经典款,3月,2023,夏季,停售,0.87,715,1943,613,240,31140.66,邢婷婷,休闲,第三波,12月,3个月,C波,否,改进,成功,好,E
188,SPU187,短袖T恤春季款,清仓,男装,T恤,0.1312,3247,2821,2784,47463.86,23260.53,13597.24,27706.61,9663.29,426,216,1612.28,434.46,1224.96,1072.95,1413.132,22187.58,12372.28,9815.3,1324.34,48.9,3.75,20579.65,21488.28,0.0776,148.51,B类,无,10月,2023,冬季,清仓,0.74,668,1314,829,423,22187.58,高兵,休闲,第二波,3月,1年,D波,否,创新,成功,好,A
189,SPU188,风衣夏季款,联名,童装,外套,0.0359,2311,2228,436,4200.64,30258.43,18233.99,2821.49,12024.44,83,69,1320.69,399.42,1590.67,1612.07,1080.001,28646.36,16643.32,12003.04,424.79,49.32,14.51,24788.3,24770.83,0.1583,188.87,C类,改进款,7月,2025,秋冬,预售,0.88,743,728,265,359,28646.36,胡玉华,运动,第一波,9月,长期,E波,否,改进,成功,优秀,D
190,SPU189,跑步外套夏季款,联名,运动,运动外套,0.1402,1241,1067,161,44374.99,5571.25,3272.47,15812.81,2298.78,174,118,616.17,487.85,402.67,745.52,184.424,4825.73,2869.8,1955.93,553.25,30.44,15.7,6169.91,4955.6,0.7329,109.04,C类,改进款,10月,2024,春夏,清仓,0.62,625,1242,153,490,4825.73,刘红,复古,特别款,12月,3个月,A波,否,创新,成功,优秀,A
191,SPU190,家居服秋冬款,爆款,内衣,家居服,0.0129,1322,1305,1180,18803.09,5372.23,1996.72,13000.33,3375.51,17,8,627.69,143.54,92.07,634.31,470.487,4737.92,1904.65,2833.27,508.13,48.58,14.65,5078.85,4605.75,0.0068,234.06,E类,升级款,8月,2024,秋季,下架,0.98,382,170,1397,211,4737.92,刘燕,商务,第四波,9月,3个月,E波,否,改进,成功,一般,A
