自增ID,统计日期,店铺名称,商品ID,商品名称,SKU ID,SKU名称,加购件数,下单件数,下单买家数,下单金额,支付件数,支付买家数,支付金额,款号,颜色,分款号,波段,链接,上线前三天,记录日期,商品编码
403,2025-10-06,播女装官方旗舰店,174323,西装外套热卖款,948992,SPU095-绿色-L,55,22,18,20572,1,0,301,SPU095,绿色,SUB595,C波,https://shop.example.com/product/95674,2025-10-06,2025-10-25 19:02:49,SPU095-绿色-L
404,2025-09-22,美特斯邦威男装官方旗舰店,923349,西装外套热卖款,427426,SPU095-绿色-S,83,44,44,19204,32,14,9230,SPU095,绿色,SUB916,D波,https://shop.example.com/product/64159,2025-09-22,2025-10-02 22:11:13,SPU095-绿色-S
405,2025-10-10,美特斯邦威男装官方旗舰店,323701,西装外套热卖款,999115,SPU095-绿色-XL,422,303,176,8618,284,131,18286,SPU095,绿色,SUB583,A波,https://shop.example.com/product/64187,2025-10-10,2025-10-14 09:55:40,SPU095-绿色-XL
406,2025-09-17,GAP官方旗舰店,754736,羊毛衫热卖款,931553,SPU096-灰色-XL,1054,428,72,31072,375,103,20372,SPU096,灰色,SUB930,A波,https://shop.example.com/product/37946,2025-09-17,2025-10-16 20:21:57,SPU096-灰色-XL
407,2025-09-30,H&M男装官方旗舰店,911017,羊毛衫热卖款,174158,SPU096-灰色-XL,72,461,132,21776,394,23,10074,SPU096,灰色,SUB460,D波,https://shop.example.com/product/39069,2025-09-30,2025-10-16 09:55:30,SPU096-灰色-XL
408,2025-10-05,H&M官方旗舰店,591018,羊毛衫热卖款,411185,SPU096-灰色-XL,436,350,184,28694,93,32,34342,SPU096,灰色,SUB882,B波,https://shop.example.com/product/54223,2025-10-05,2025-10-29 05:48:14,SPU096-灰色-XL
409,2025-09-09,太平鸟童装官方旗舰店,655682,羊毛衫热卖款,163413,SPU096-灰色-XL,830,446,441,17891,77,69,28535,SPU096,灰色,SUB139,D波,https://shop.example.com/product/68694,2025-09-09,2025-10-05 10:35:41,SPU096-灰色-XL
410,2025-09-11,森马男装官方旗舰店,329668,羊毛衫热卖款,852613,SPU096-灰色-M,128,99,38,35516,75,64,12794,SPU096,灰色,SUB660,C波,https://shop.example.com/product/33183,2025-09-11,2025-10-06 14:04:46,SPU096-灰色-M
411,2025-09-23,太平鸟女装官方旗舰店,936547,羽绒服经典款,761255,SPU097-蓝色-XS,435,162,76,26600,58,58,9037,SPU097,蓝色,SUB653,A波,https://shop.example.com/product/53364,2025-09-23,2025-10-21 06:20:41,SPU097-蓝色-XS
412,2025-10-02,江南布衣男装官方旗舰店,955957,羽绒服经典款,565917,SPU097-蓝色-XL,283,171,12,25786,13,5,29424,SPU097,蓝色,SUB734,C波,https://shop.example.com/product/56194,2025-10-02,2025-10-09 21:09:04,SPU097-蓝色-XL
413,2025-09-24,太平鸟男装官方旗舰店,267201,羽绒服经典款,315996,SPU097-蓝色-XXXL,72,40,11,47787,23,0,38932,SPU097,蓝色,SUB134,C波,https://shop.example.com/product/52539,2025-09-24,2025-10-13 17:15:57,SPU097-蓝色-XXXL
414,2025-10-01,秋水伊人女装官方旗舰店,759495,羽绒服经典款,833832,SPU097-蓝色-M,79,54,46,1805,2,2,39327,SPU097,蓝色,SUB204,B波,https://shop.example.com/product/23071,2025-10-01,2025-10-22 04:56:05,SPU097-蓝色-M
415,2025-09-25,COS官方旗舰店,585175,羽绒服经典款,916745,SPU097-蓝色-XXXL,1039,486,481,25421,42,6,39388,SPU097,蓝色,SUB803,A波,https://shop.example.com/product/28654,2025-09-25,2025-10-07 13:02:05,SPU097-蓝色-XXXL
416,2025-09-29,H&M女装官方旗舰店,566810,休闲裤热卖款,815104,SPU098-绿色-XXXL,199,168,13,45006,75,22,11022,SPU098,绿色,SUB749,A波,https://shop.example.com/product/63231,2025-09-29,2025-10-14 09:12:17,SPU098-绿色-XXXL
417,2025-10-05,杰克琼斯官方旗舰店,345165,休闲裤热卖款,430434,SPU098-绿色-XL,548,367,357,5449,317,90,42,SPU098,绿色,SUB184,B波,https://shop.example.com/product/33886,2025-10-05,2025-10-22 03:15:10,SPU098-绿色-XL
418,2025-09-16,GAP童装官方旗舰店,932450,休闲裤热卖款,693378,SPU098-绿色-S,365,224,223,3900,80,1,10348,SPU098,绿色,SUB980,D波,https://shop.example.com/product/16655,2025-09-16,2025-10-16 08:34:54,SPU098-绿色-S
419,2025-09-24,Massimo Dutti官方旗舰店,453643,短裤夏季款,325023,SPU099-棕色-L,110,40,11,22742,20,20,38548,SPU099,棕色,SUB365,D波,https://shop.example.com/product/93062,2025-09-24,2025-10-11 06:36:23,SPU099-棕色-L
420,2025-09-16,美特斯邦威官方旗舰店,133544,短裤夏季款,559340,SPU099-棕色-S,578,455,22,32264,316,51,29028,SPU099,棕色,SUB821,B波,https://shop.example.com/product/26926,2025-09-16,2025-10-12 21:14:59,SPU099-棕色-S
421,2025-10-05,森马男装官方旗舰店,151922,短裤夏季款,471054,SPU099-棕色-S,604,237,172,23996,152,7,15112,SPU099,棕色,SUB782,A波,https://shop.example.com/product/16310,2025-10-05,2025-10-20 11:41:42,SPU099-棕色-S
422,2025-09-26,欧时力官方旗舰店,810450,百褶裙秋冬款,752256,SPU100-棕色-M,3,4,2,47275,3,0,13321,SPU100,棕色,SUB806,A波,https://shop.example.com/product/10393,2025-09-26,2025-10-25 05:53:35,SPU100-棕色-M
423,2025-10-03,Mango官方旗舰店,132959,百褶裙秋冬款,324933,SPU100-棕色-XS,219,142,11,33192,89,78,18626,SPU100,棕色,SUB165,A波,https://shop.example.com/product/81140,2025-10-03,2025-10-27 02:33:19,SPU100-棕色-XS
424,2025-10-08,太平鸟官方旗舰店,785707,百褶裙秋冬款,453171,SPU100-棕色-L,450,153,44,35746,24,11,22682,SPU100,棕色,SUB878,B波,https://shop.example.com/product/58994,2025-10-08,2025-10-17 22:18:19,SPU100-棕色-L
425,2025-10-13,美特斯邦威官方旗舰店,253624,百褶裙秋冬款,147924,SPU100-棕色-XS,740,351,198,4630,290,17,3887,SPU100,棕色,SUB517,D波,https://shop.example.com/product/84631,2025-10-12,2025-10-20 20:38:14,SPU100-棕色-XS
426,2025-10-06,阿迪达斯官方旗舰店,775414,连帽卫衣春季款,120155,SPU101-绿色-S,814,481,292,28080,295,280,3852,SPU101,绿色,SUB175,D波,https://shop.example.com/product/67571,2025-10-06,2025-10-17 22:58:36,SPU101-绿色-S
427,2025-09-16,优衣库官方旗舰店,916100,连帽卫衣春季款,829234,SPU101-绿色-S,247,244,122,32830,67,34,8212,SPU101,绿色,SUB833,B波,https://shop.example.com/product/96797,2025-09-16,2025-10-06 15:10:57,SPU101-绿色-S
428,2025-09-24,Mango女装官方旗舰店,403013,连帽卫衣春季款,421657,SPU101-绿色-L,297,99,89,24573,72,28,1344,SPU101,绿色,SUB102,D波,https://shop.example.com/product/74327,2025-09-24,2025-10-06 13:04:24,SPU101-绿色-L
429,2025-09-24,GAP女装官方旗舰店,989261,连帽卫衣春季款,987631,SPU101-绿色-XL,160,234,85,21501,96,1,14284,SPU101,绿色,SUB264,C波,https://shop.example.com/product/11448,2025-09-24,2025-10-08 16:31:22,SPU101-绿色-XL
430,2025-09-27,VERO MODA官方旗舰店,497916,套头卫衣秋冬款,428312,SPU102-绿色-L,32,37,8,25635,31,11,18734,SPU102,绿色,SUB208,D波,https://shop.example.com/product/80416,2025-09-27,2025-10-13 06:35:44,SPU102-绿色-L
431,2025-10-27,GXG男装官方旗舰店,164118,套头卫衣秋冬款,758229,SPU102-绿色-XS,95,130,38,14341,47,14,20166,SPU102,绿色,SUB438,A波,https://shop.example.com/product/19141,2025-10-20,2025-10-28 11:41:03,SPU102-绿色-XS
432,2025-09-30,美特斯邦威男装官方旗舰店,141768,套头卫衣秋冬款,774392,SPU102-绿色-M,13,7,0,23341,0,0,368,SPU102,绿色,SUB752,D波,https://shop.example.com/product/76903,2025-09-30,2025-10-09 20:12:07,SPU102-绿色-M
433,2025-09-30,阿迪达斯官方旗舰店,258824,套头卫衣秋冬款,222314,SPU102-绿色-XL,45,129,98,25728,62,28,14414,SPU102,绿色,SUB913,B波,https://shop.example.com/product/90775,2025-09-30,2025-10-03 09:19:36,SPU102-绿色-XL
434,2025-10-13,欧时力官方旗舰店,811289,套头卫衣秋冬款,450760,SPU102-绿色-XL,934,474,171,49429,3,3,21186,SPU102,绿色,SUB977,B波,https://shop.example.com/product/21498,2025-10-12,2025-10-15 23:57:49,SPU102-绿色-XL
435,2025-09-29,H&M童装官方旗舰店,722431,家居服经典款,908521,SPU103-红色-XXL,216,87,39,10976,75,50,3042,SPU103,红色,SUB336,B波,https://shop.example.com/product/64929,2025-09-29,2025-10-20 00:31:50,SPU103-红色-XXL
436,2025-09-22,COS女装官方旗舰店,108882,家居服经典款,827937,SPU103-红色-XXXL,289,343,234,24251,91,45,34122,SPU103,红色,SUB291,A波,https://shop.example.com/product/43532,2025-09-22,2025-10-13 02:44:21,SPU103-红色-XXXL
437,2025-09-17,Bershka女装官方旗舰店,125862,家居服经典款,828658,SPU103-红色-M,610,236,32,71,118,116,29158,SPU103,红色,SUB217,A波,https://shop.example.com/product/55121,2025-09-17,2025-10-15 23:26:01,SPU103-红色-M
438,2025-09-22,太平鸟官方旗舰店,848362,家居服经典款,888460,SPU103-红色-XL,1127,431,3,11857,82,24,28275,SPU103,红色,SUB817,B波,https://shop.example.com/product/22972,2025-09-22,2025-10-03 09:19:14,SPU103-红色-XL
439,2025-10-21,H&M男装官方旗舰店,792325,羊毛衫热卖款,279219,SPU104-橙色-XL,69,331,180,34369,311,63,34226,SPU104,橙色,SUB686,D波,https://shop.example.com/product/10560,2025-10-17,2025-10-25 10:24:19,SPU104-橙色-XL
440,2025-10-09,美特斯邦威男装官方旗舰店,199051,羊毛衫热卖款,554803,SPU104-橙色-M,217,351,57,32973,187,111,13856,SPU104,橙色,SUB648,C波,https://shop.example.com/product/53557,2025-10-09,2025-10-12 07:47:52,SPU104-橙色-M
441,2025-10-15,GAP官方旗舰店,865806,羊毛衫热卖款,717130,SPU104-橙色-M,320,281,237,45237,281,240,10975,SPU104,橙色,SUB820,A波,https://shop.example.com/product/60032,2025-10-14,2025-10-23 08:45:51,SPU104-橙色-M
442,2025-09-07,优衣库官方旗舰店,843261,速干短裤秋冬款,152789,SPU105-米色-XL,768,284,173,15488,264,245,35060,SPU105,米色,SUB883,B波,https://shop.example.com/product/18803,2025-09-07,2025-10-01 08:47:00,SPU105-米色-XL
443,2025-10-02,杰克琼斯男装官方旗舰店,262081,速干短裤秋冬款,633222,SPU105-米色-XXL,595,280,245,11296,192,130,18095,SPU105,米色,SUB439,C波,https://shop.example.com/product/17001,2025-10-02,2025-10-31 02:54:26,SPU105-米色-XXL
444,2025-10-13,欧时力女装官方旗舰店,244810,速干短裤秋冬款,276288,SPU105-米色-XXL,739,336,244,10650,49,0,3537,SPU105,米色,SUB281,B波,https://shop.example.com/product/90614,2025-10-11,2025-10-15 18:43:52,SPU105-米色-XXL
445,2025-10-15,Mango官方旗舰店,755645,速干短裤秋冬款,979422,SPU105-米色-XS,117,150,34,43416,137,39,3877,SPU105,米色,SUB358,A波,https://shop.example.com/product/46362,2025-10-12,2025-10-26 22:32:25,SPU105-米色-XS
446,2025-09-26,秋水伊人官方旗舰店,786642,速干短裤秋冬款,321692,SPU105-米色-M,374,142,33,49106,124,110,34399,SPU105,米色,SUB865,A波,https://shop.example.com/product/18655,2025-09-26,2025-10-04 03:28:54,SPU105-米色-M
447,2025-10-16,美特斯邦威男装官方旗舰店,731707,牛仔裤春季款,845055,SPU106-蓝色-XL,200,215,179,668,92,86,8292,SPU106,蓝色,SUB853,A波,https://shop.example.com/product/26722,2025-10-13,2025-10-27 08:58:37,SPU106-蓝色-XL
448,2025-09-09,ZARA官方旗舰店,390453,牛仔裤春季款,849096,SPU106-蓝色-XXXL,44,18,4,14353,6,6,8598,SPU106,蓝色,SUB233,D波,https://shop.example.com/product/75277,2025-09-09,2025-10-08 20:24:02,SPU106-蓝色-XXXL
449,2025-10-04,ZARA童装官方旗舰店,208250,牛仔裤春季款,355537,SPU106-蓝色-均码,381,183,183,12711,32,2,8561,SPU106,蓝色,SUB615,A波,https://shop.example.com/product/64778,2025-10-04,2025-10-19 02:08:11,SPU106-蓝色-均码
450,2025-09-29,太平鸟童装官方旗舰店,365778,风衣经典款,515102,SPU107-绿色-均码,201,171,0,44707,12,0,22572,SPU107,绿色,SUB832,B波,https://shop.example.com/product/67667,2025-09-29,2025-10-12 04:36:39,SPU107-绿色-均码
451,2025-10-04,GXG官方旗舰店,517211,风衣经典款,712957,SPU107-绿色-均码,98,233,156,35210,117,28,8652,SPU107,绿色,SUB886,A波,https://shop.example.com/product/99625,2025-10-04,2025-10-12 16:18:22,SPU107-绿色-均码
452,2025-09-16,Bershka官方旗舰店,727273,风衣经典款,194014,SPU107-绿色-XS,26,11,10,44943,10,1,30780,SPU107,绿色,SUB405,D波,https://shop.example.com/product/89707,2025-09-16,2025-10-07 20:00:57,SPU107-绿色-XS
453,2025-10-02,GXG男装官方旗舰店,885461,风衣经典款,656674,SPU107-绿色-XXL,13,20,3,1911,5,2,16249,SPU107,绿色,SUB962,C波,https://shop.example.com/product/18766,2025-10-02,2025-10-08 19:15:37,SPU107-绿色-XXL
454,2025-10-06,太平鸟男装官方旗舰店,270081,风衣经典款,258162,SPU107-绿色-S,581,317,41,13305,198,30,27511,SPU107,绿色,SUB598,A波,https://shop.example.com/product/75678,2025-10-06,2025-10-28 19:06:49,SPU107-绿色-S
455,2025-10-03,太平鸟男装官方旗舰店,684245,家居服新款,486478,SPU108-黄色-XL,53,28,26,25772,11,7,2659,SPU108,黄色,SUB492,B波,https://shop.example.com/product/61642,2025-10-03,2025-10-25 19:55:33,SPU108-黄色-XL
456,2025-10-04,GAP官方旗舰店,698032,家居服新款,637022,SPU108-黄色-XXL,806,476,185,23702,78,7,19870,SPU108,黄色,SUB695,C波,https://shop.example.com/product/43388,2025-10-04,2025-10-06 23:00:53,SPU108-黄色-XXL
457,2025-09-21,江南布衣男装官方旗舰店,552445,家居服新款,510534,SPU108-黄色-XL,100,153,78,39626,9,3,14727,SPU108,黄色,SUB681,D波,https://shop.example.com/product/55061,2025-09-21,2025-10-12 12:35:50,SPU108-黄色-XL
458,2025-09-22,优衣库童装官方旗舰店,733883,家居服热卖款,495238,SPU109-棕色-XXL,2,4,3,12436,2,0,11071,SPU109,棕色,SUB494,B波,https://shop.example.com/product/66864,2025-09-22,2025-10-05 01:18:37,SPU109-棕色-XXL
459,2025-09-30,Massimo Dutti官方旗舰店,192756,家居服热卖款,409872,SPU109-棕色-M,300,451,130,14184,427,402,26931,SPU109,棕色,SUB781,B波,https://shop.example.com/product/55026,2025-09-30,2025-10-29 22:00:14,SPU109-棕色-M
460,2025-09-29,森马男装官方旗舰店,829207,家居服热卖款,436133,SPU109-棕色-L,545,481,344,9915,335,51,33730,SPU109,棕色,SUB970,A波,https://shop.example.com/product/79966,2025-09-29,2025-10-29 13:09:46,SPU109-棕色-L
461,2025-10-20,杰克琼斯男装官方旗舰店,820626,家居服热卖款,747704,SPU109-棕色-M,200,376,318,26710,252,37,15735,SPU109,棕色,SUB841,C波,https://shop.example.com/product/21093,2025-10-16,2025-10-29 04:10:24,SPU109-棕色-M
462,2025-09-25,美特斯邦威男装官方旗舰店,815861,家居服热卖款,498738,SPU109-棕色-XS,269,336,112,13173,307,286,22205,SPU109,棕色,SUB924,B波,https://shop.example.com/product/27560,2025-09-25,2025-10-02 02:29:55,SPU109-棕色-XS
463,2025-09-06,播女装官方旗舰店,295726,长袖T恤秋冬款,483394,SPU110-黄色-XXXL,117,368,186,34840,144,60,14739,SPU110,黄色,SUB351,C波,https://shop.example.com/product/36516,2025-09-06,2025-10-05 22:22:39,SPU110-黄色-XXXL
464,2025-10-09,优衣库官方旗舰店,948210,长袖T恤秋冬款,823018,SPU110-黄色-均码,493,486,39,5156,417,361,23975,SPU110,黄色,SUB968,D波,https://shop.example.com/product/63171,2025-10-09,2025-10-11 11:11:57,SPU110-黄色-均码
465,2025-10-08,H&M男装官方旗舰店,380049,长袖T恤秋冬款,487758,SPU110-黄色-S,29,14,12,47694,5,3,36943,SPU110,黄色,SUB791,C波,https://shop.example.com/product/75454,2025-10-08,2025-10-20 20:09:25,SPU110-黄色-S
466,2025-10-13,太平鸟男装官方旗舰店,715332,POLO衫春季款,846697,SPU111-白色-S,458,169,68,47300,116,98,21987,SPU111,白色,SUB304,C波,https://shop.example.com/product/41447,2025-10-11,2025-10-27 19:42:47,SPU111-白色-S
467,2025-10-14,美特斯邦威男装官方旗舰店,595125,POLO衫春季款,998887,SPU111-白色-S,277,223,100,25340,94,93,38970,SPU111,白色,SUB895,D波,https://shop.example.com/product/18333,2025-10-13,2025-10-28 13:08:27,SPU111-白色-S
468,2025-10-28,Stradivarius女装官方旗舰店,393975,POLO衫春季款,232616,SPU111-白色-M,80,220,45,22495,53,18,24244,SPU111,白色,SUB122,A波,https://shop.example.com/product/85063,2025-10-20,2025-10-30 12:32:36,SPU111-白色-M
469,2025-09-27,ONLY女装官方旗舰店,421230,POLO衫春季款,632724,SPU111-白色-均码,44,170,87,12148,158,102,39055,SPU111,白色,SUB246,C波,https://shop.example.com/product/58655,2025-09-27,2025-10-14 15:45:36,SPU111-白色-均码
470,2025-09-20,太平鸟男装官方旗舰店,416761,POLO衫春季款,985249,SPU111-白色-XS,457,294,93,7395,195,61,887,SPU111,白色,SUB564,C波,https://shop.example.com/product/27918,2025-09-20,2025-10-18 12:08:08,SPU111-白色-XS
471,2025-10-08,GAP男装官方旗舰店,852253,运动长裤春季款,717088,SPU112-红色-L,60,122,34,11900,47,24,8030,SPU112,红色,SUB933,C波,https://shop.example.com/product/16899,2025-10-08,2025-10-27 13:36:38,SPU112-红色-L
472,2025-09-14,优衣库童装官方旗舰店,670909,运动长裤春季款,711866,SPU112-红色-XXL,400,341,126,10316,135,106,7624,SPU112,红色,SUB408,C波,https://shop.example.com/product/50494,2025-09-14,2025-10-12 15:03:13,SPU112-红色-XXL
473,2025-09-21,COS女装官方旗舰店,158548,运动长裤春季款,574800,SPU112-红色-XXL,290,109,52,14418,91,84,30008,SPU112,红色,SUB331,A波,https://shop.example.com/product/99216,2025-09-21,2025-10-15 23:56:23,SPU112-红色-XXL
474,2025-10-14,耐克官方旗舰店,660105,家居服新款,776978,SPU113-白色-S,249,462,253,34788,9,5,10945,SPU113,白色,SUB245,A波,https://shop.example.com/product/20407,2025-10-12,2025-10-24 21:04:09,SPU113-白色-S
475,2025-10-06,森马男装官方旗舰店,568329,家居服新款,196865,SPU113-白色-M,287,188,81,10251,186,53,23773,SPU113,白色,SUB935,C波,https://shop.example.com/product/33097,2025-10-06,2025-10-24 01:38:07,SPU113-白色-M
476,2025-09-04,COS女装官方旗舰店,583031,家居服新款,372379,SPU113-白色-L,273,221,216,44582,129,127,3185,SPU113,白色,SUB215,D波,https://shop.example.com/product/35427,2025-09-04,2025-10-04 17:46:48,SPU113-白色-L
477,2025-10-03,Pull&Bear男装官方旗舰店,779587,家居服新款,955499,SPU113-白色-L,692,329,12,45318,83,67,26930,SPU113,白色,SUB915,C波,https://shop.example.com/product/29344,2025-10-03,2025-10-23 08:49:37,SPU113-白色-L
478,2025-09-25,播女装官方旗舰店,574969,家居服新款,238471,SPU114-米色-XS,295,113,55,26234,56,43,21228,SPU114,米色,SUB516,B波,https://shop.example.com/product/35556,2025-09-25,2025-10-23 02:59:06,SPU114-米色-XS
479,2025-10-26,Massimo Dutti官方旗舰店,392193,家居服新款,164954,SPU114-米色-XXXL,661,239,211,3056,0,0,9994,SPU114,米色,SUB933,D波,https://shop.example.com/product/80386,2025-10-22,2025-10-28 15:11:11,SPU114-米色-XXXL
480,2025-09-23,VERO MODA女装官方旗舰店,485338,家居服新款,441294,SPU114-米色-XXXL,83,32,2,2383,1,0,9960,SPU114,米色,SUB595,B波,https://shop.example.com/product/26780,2025-09-23,2025-10-04 13:06:36,SPU114-米色-XXXL
481,2025-09-18,Stradivarius官方旗舰店,435322,家居服春季款,585610,SPU115-黄色-S,84,33,12,7858,19,13,1734,SPU115,黄色,SUB718,C波,https://shop.example.com/product/39715,2025-09-18,2025-10-13 00:27:59,SPU115-黄色-S
482,2025-10-01,ZARA童装官方旗舰店,930221,家居服春季款,229413,SPU115-黄色-XXL,445,495,390,26083,293,270,5691,SPU115,黄色,SUB606,B波,https://shop.example.com/product/14598,2025-10-01,2025-10-04 07:32:24,SPU115-黄色-XXL
483,2025-10-20,ONLY官方旗舰店,496449,家居服春季款,752669,SPU115-黄色-XXL,177,101,44,46477,15,4,33954,SPU115,黄色,SUB894,D波,https://shop.example.com/product/33070,2025-10-18,2025-10-21 22:45:12,SPU115-黄色-XXL
484,2025-10-03,耐克官方旗舰店,730123,家居服春季款,776200,SPU115-黄色-XS,381,464,294,47595,369,323,31761,SPU115,黄色,SUB902,B波,https://shop.example.com/product/55084,2025-10-03,2025-10-14 11:22:43,SPU115-黄色-XS
485,2025-10-16,优衣库女装官方旗舰店,469359,家居服春季款,967431,SPU115-黄色-XXL,168,65,27,15376,47,9,11074,SPU115,黄色,SUB254,D波,https://shop.example.com/product/39732,2025-10-12,2025-10-27 18:22:06,SPU115-黄色-XXL
486,2025-09-21,ONLY官方旗舰店,647579,家居服热卖款,732700,SPU116-灰色-L,356,358,0,18830,315,186,31043,SPU116,灰色,SUB807,B波,https://shop.example.com/product/56404,2025-09-21,2025-10-16 13:19:28,SPU116-灰色-L
487,2025-10-03,太平鸟官方旗舰店,543785,家居服热卖款,547554,SPU116-灰色-XS,44,115,64,22938,16,1,30771,SPU116,灰色,SUB506,A波,https://shop.example.com/product/16416,2025-10-03,2025-10-31 02:59:00,SPU116-灰色-XS
488,2025-10-09,优衣库官方旗舰店,636294,家居服热卖款,296542,SPU116-灰色-M,398,282,254,7916,235,195,33139,SPU116,灰色,SUB926,B波,https://shop.example.com/product/36201,2025-10-09,2025-10-12 05:47:18,SPU116-灰色-M
489,2025-09-14,COS官方旗舰店,114847,家居服热卖款,615262,SPU116-灰色-M,127,195,39,25980,9,1,23214,SPU116,灰色,SUB760,B波,https://shop.example.com/product/83174,2025-09-14,2025-10-09 02:18:58,SPU116-灰色-M
490,2025-09-29,优衣库男装官方旗舰店,291768,家居服热卖款,840385,SPU116-灰色-L,183,347,252,43661,286,222,17179,SPU116,灰色,SUB646,C波,https://shop.example.com/product/62761,2025-09-29,2025-10-06 01:51:16,SPU116-灰色-L
491,2025-09-25,森马官方旗舰店,564116,短裤秋冬款,890365,SPU117-白色-M,268,244,33,9512,51,13,14201,SPU117,白色,SUB807,B波,https://shop.example.com/product/28564,2025-09-25,2025-10-13 06:23:54,SPU117-白色-M
492,2025-10-13,ONLY女装官方旗舰店,846660,短裤秋冬款,633052,SPU117-白色-M,34,487,324,6955,82,77,19138,SPU117,白色,SUB359,B波,https://shop.example.com/product/55364,2025-10-12,2025-10-21 12:39:53,SPU117-白色-M
493,2025-10-13,H&M女装官方旗舰店,955309,短裤秋冬款,797307,SPU117-白色-XS,701,286,94,11707,78,45,26543,SPU117,白色,SUB158,D波,https://shop.example.com/product/33991,2025-10-12,2025-10-22 01:54:49,SPU117-白色-XS
494,2025-09-18,美特斯邦威官方旗舰店,321316,短裤秋冬款,489641,SPU117-白色-XL,100,420,199,15875,316,245,16032,SPU117,白色,SUB168,A波,https://shop.example.com/product/79674,2025-09-18,2025-10-18 17:13:10,SPU117-白色-XL
495,2025-10-21,太平鸟男装官方旗舰店,816884,西装外套夏季款,931502,SPU118-绿色-XS,62,28,8,6851,8,3,413,SPU118,绿色,SUB597,C波,https://shop.example.com/product/40030,2025-10-16,2025-10-31 06:24:21,SPU118-绿色-XS
496,2025-10-13,韩都衣舍官方旗舰店,909679,西装外套夏季款,227952,SPU118-绿色-M,1150,438,165,9731,286,6,4701,SPU118,绿色,SUB325,D波,https://shop.example.com/product/32874,2025-10-12,2025-10-14 07:23:06,SPU118-绿色-M
497,2025-10-06,ZARA官方旗舰店,633429,西装外套夏季款,922655,SPU118-绿色-S,293,205,169,26168,169,58,37415,SPU118,绿色,SUB948,D波,https://shop.example.com/product/96094,2025-10-06,2025-10-26 02:20:40,SPU118-绿色-S
498,2025-09-29,H&M官方旗舰店,429075,针织衫秋冬款,865982,SPU119-米色-均码,283,187,121,2951,98,46,20868,SPU119,米色,SUB357,A波,https://shop.example.com/product/32843,2025-09-29,2025-10-17 03:55:30,SPU119-米色-均码
499,2025-10-17,ZARA女装官方旗舰店,170561,针织衫秋冬款,486177,SPU119-米色-XL,177,479,219,47210,320,137,4719,SPU119,米色,SUB179,C波,https://shop.example.com/product/53246,2025-10-15,2025-10-18 11:45:11,SPU119-米色-XL
500,2025-09-27,耐克官方旗舰店,697243,针织衫秋冬款,803096,SPU119-米色-XXL,93,219,147,47244,69,48,38825,SPU119,米色,SUB316,C波,https://shop.example.com/product/69095,2025-09-27,2025-10-07 08:08:20,SPU119-米色-XXL
501,2025-10-07,GXG官方旗舰店,943950,针织衫秋冬款,293842,SPU119-米色-S,61,280,244,34,254,207,8984,SPU119,米色,SUB118,C波,https://shop.example.com/product/32115,2025-10-07,2025-10-08 23:53:17,SPU119-米色-S
502,2025-09-27,ZARA女装官方旗舰店,115633,风衣秋冬款,174575,SPU120-白色-L,637,222,221,42731,40,31,6297,SPU120,白色,SUB239,A波,https://shop.example.com/product/29617,2025-09-27,2025-10-17 12:41:20,SPU120-白色-L
503,2025-10-05,ONLY官方旗舰店,699338,风衣秋冬款,355486,SPU120-白色-S,384,157,110,40652,18,12,30327,SPU120,白色,SUB644,D波,https://shop.example.com/product/63213,2025-10-05,2025-10-06 15:35:21,SPU120-白色-S
504,2025-10-04,韩都衣舍女装官方旗舰店,597619,风衣秋冬款,326093,SPU120-白色-S,4,18,5,27942,18,15,31711,SPU120,白色,SUB336,A波,https://shop.example.com/product/88897,2025-10-04,2025-10-17 10:58:57,SPU120-白色-S
505,2025-10-11,Mango官方旗舰店,559118,家居服春季款,783707,SPU121-粉色-均码,797,394,345,1855,94,58,22224,SPU121,粉色,SUB812,D波,https://shop.example.com/product/95032,2025-10-11,2025-10-18 21:37:59,SPU121-粉色-均码
506,2025-09-27,GXG官方旗舰店,348755,家居服春季款,981495,SPU121-粉色-M,652,278,106,41350,215,175,37464,SPU121,粉色,SUB815,C波,https://shop.example.com/product/36609,2025-09-27,2025-10-23 23:20:09,SPU121-粉色-M
507,2025-09-08,GAP官方旗舰店,760566,家居服春季款,907365,SPU121-粉色-XS,97,59,21,20235,38,12,2023,SPU121,粉色,SUB624,C波,https://shop.example.com/product/33814,2025-09-08,2025-10-06 12:17:10,SPU121-粉色-XS
508,2025-10-11,Pull&Bear官方旗舰店,147899,家居服春季款,266240,SPU121-粉色-XS,61,119,75,4538,15,11,1541,SPU121,粉色,SUB893,C波,https://shop.example.com/product/73738,2025-10-11,2025-10-14 11:39:11,SPU121-粉色-XS
509,2025-10-02,秋水伊人官方旗舰店,396525,短裤经典款,690390,SPU122-米色-XXL,934,413,409,18618,193,122,451,SPU122,米色,SUB828,A波,https://shop.example.com/product/10156,2025-10-02,2025-10-18 06:21:53,SPU122-米色-XXL
510,2025-10-14,森马男装官方旗舰店,586819,短裤经典款,514861,SPU122-米色-L,78,71,39,35701,53,42,28525,SPU122,米色,SUB608,D波,https://shop.example.com/product/49025,2025-10-13,2025-10-24 08:12:49,SPU122-米色-L
511,2025-10-07,GXG男装官方旗舰店,572004,短裤经典款,424544,SPU122-米色-XL,91,293,214,13192,229,98,22777,SPU122,米色,SUB536,A波,https://shop.example.com/product/43676,2025-10-07,2025-10-17 07:23:24,SPU122-米色-XL
